attributes,category_extraction_fns,threshold,weights,n_clusters_options
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[40]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[60]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[100]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[60]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[80]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[80]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[40]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[120]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[60]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[40]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[120]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[100]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[120]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[100]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[4, 1, 1, 1, 1]",[40]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[80]
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[4, 1, 1, 1, 1]",[80]
