attributes,category_extraction_fns,threshold,weights,n_clusters_options,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[40],43,121,99,0.262195121951219,0.30281690140845,0.28104575163398604,0.155797101449275,0.2694235588972431
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[60],47,117,95,0.286585365853658,0.33098591549295703,0.30718954248366004,0.17279411764705802,0.29448621553884713
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[100],50,113,92,0.30674846625766805,0.352112676056338,0.32786885245901604,0.18587360594795502,0.3148614609571788
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[60],33,131,109,0.20121951219512102,0.232394366197183,0.21568627450980302,0.115384615384615,0.20676691729323307
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[80],48,115,94,0.29447852760736204,0.338028169014084,0.31475409836065504,0.17712177121771203,0.3022670025188917
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[80],36,127,106,0.22085889570552103,0.25352112676056304,0.236065573770491,0.127208480565371,0.22670025188916876
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[40],33,131,109,0.20121951219512102,0.232394366197183,0.21568627450980302,0.115384615384615,0.20676691729323307
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[1, 1, 1, 1, 1]",[120],52,110,90,0.320987654320987,0.366197183098591,0.342105263157894,0.19475655430711603,0.3291139240506329
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[60],25,137,117,0.15432098765432,0.176056338028169,0.16447368421052602,0.08503401360544201,0.15822784810126583
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[40],30,133,112,0.18404907975460102,0.211267605633802,0.19672131147540903,0.10380622837370201,0.1889168765743073
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[120],46,116,96,0.28395061728395005,0.323943661971831,0.30263157894736803,0.168498168498168,0.2911392405063291
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[2, 1, 1, 1, 1]",[100],43,120,99,0.263803680981595,0.30281690140845,0.28196721311475403,0.155797101449275,0.2707808564231738
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[120],42,117,100,0.264150943396226,0.29577464788732305,0.27906976744186,0.151624548736462,0.2699228791773779
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[100],39,122,103,0.24223602484472,0.274647887323943,0.25742574257425704,0.139285714285714,0.2480916030534351
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[4, 1, 1, 1, 1]",[40],27,133,115,0.16875,0.190140845070422,0.17880794701986702,0.092465753424657,0.17263427109974425
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[3, 1, 1, 1, 1]",[80],31,129,111,0.19375,0.218309859154929,0.20529801324503302,0.107638888888888,0.19820971867007672
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[4, 1, 1, 1, 1]",[80],29,129,113,0.18354430379746803,0.204225352112676,0.19333333333333302,0.1,0.18733850129198967
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[4, 1, 1, 1, 1]",[60],23,137,119,0.14375000000000002,0.161971830985915,0.15231788079470202,0.077702702702702,0.14705882352941177
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[5, 1, 1, 1, 1]",[40],26,127,116,0.16993464052287502,0.183098591549295,0.17627118644067702,0.08873720136518701,0.1724137931034483
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[4, 1, 1, 1, 1]",[100],38,121,104,0.238993710691823,0.26760563380281605,0.252491694352159,0.13523131672597802,0.2442159383033419
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.2,"[5, 1, 1, 1, 1]",[60],22,131,120,0.14379084967320202,0.154929577464788,0.149152542372881,0.074074074074074,0.14588859416445624
