preprocessing,attributes,threshold,iterative,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
,['header'],0.4,0.0,36,32,106,0.529411764705882,0.25352112676056304,0.342857142857142,0.127208480565371,0.43478260869565216
,['header'],0.6000000000000001,0.0,21,10,121,0.6774193548387091,0.147887323943661,0.242774566473988,0.070469798657718,0.39473684210526316
,['header'],0.2,0.0,44,84,98,0.34375000000000006,0.309859154929577,0.325925925925925,0.16,0.3363914373088685
,['header'],0.8,0.0,10,0,132,1.0,0.07042253521126701,0.13157894736842102,0.032362459546925,0.27472527472527475
,['content'],0.8,0.0,0,0,142,,0.0,,0.0,0.0
,['content'],0.2,0.0,66,91,76,0.42038216560509506,0.464788732394366,0.44147157190635405,0.260869565217391,0.42857142857142855
,['content'],0.6000000000000001,0.0,48,33,94,0.592592592592592,0.338028169014084,0.43049327354260003,0.17712177121771203,0.5150214592274678
,['content'],0.4,0.0,63,85,79,0.42567567567567505,0.44366197183098505,0.434482758620689,0.24609375,0.42915531335149865
lemmatize,['header'],0.2,0.0,43,81,99,0.346774193548387,0.30281690140845,0.32330827067669105,0.155797101449275,0.33699059561128525
lemmatize,['header'],0.4,0.0,41,41,101,0.5,0.288732394366197,0.36607142857142805,0.147482014388489,0.43617021276595747
lemmatize,['header'],0.6000000000000001,0.0,26,14,116,0.65,0.183098591549295,0.28571428571428503,0.08873720136518701,0.4304635761589404
lemmatize,['header'],0.8,0.0,12,4,130,0.75,0.084507042253521,0.151898734177215,0.039087947882736,0.2912621359223301
,"['header', 'concept name']",0.2,0.0,58,85,84,0.405594405594405,0.408450704225352,0.40701754385964906,0.22222222222222202,0.4061624649859944
,"['header', 'concept name']",0.4,0.0,41,31,101,0.5694444444444441,0.288732394366197,0.38317757009345704,0.147482014388489,0.47674418604651164
,"['header', 'concept name']",0.6000000000000001,0.0,19,3,123,0.8636363636363631,0.13380281690140802,0.23170731707317002,0.063333333333333,0.41304347826086957
,"['header', 'concept name']",0.8,0.0,5,1,137,0.833333333333333,0.035211267605633,0.067567567567567,0.01592356687898,0.15060240963855423
lemmatize,"['header', 'concept name']",0.2,0.0,52,90,90,0.366197183098591,0.366197183098591,0.366197183098591,0.19475655430711603,0.36619718309859156
lemmatize,"['header', 'concept name']",0.6000000000000001,0.0,26,8,116,0.764705882352941,0.183098591549295,0.295454545454545,0.08873720136518701,0.4676258992805755
lemmatize,"['header', 'concept name']",0.4,0.0,40,40,102,0.5,0.28169014084507005,0.36036036036036,0.14336917562724,0.4329004329004329
